Filename,Percentage
35-vars/problem_2__015.smt2,5.70%
35-vars/problem_2__017.smt2,0.47%
35-vars/problem_2__019.smt2,1.35%
35-vars/problem_2__022.smt2,3.55%
35-vars/problem_2__026.smt2,0.64%
35-vars/problem_2__029.smt2,2.13%
35-vars/problem_2__033.smt2,1.37%
35-vars/problem__003.smt2,75.19%
35-vars/problem__004.smt2,75.99%
35-vars/problem__006.smt2,74.35%
35-vars/problem__010.smt2,73.88%
35-vars/problem__016.smt2,2.13%
35-vars/problem__019.smt2,53.92%
35-vars/problem__035.smt2,4.25%
40-vars/problem_2__003.smt2,75.87%
40-vars/problem_2__006.smt2,73.88%
40-vars/problem_2__007.smt2,75.20%
40-vars/problem_2__020.smt2,5.98%
40-vars/problem_2__023.smt2,2.42%
40-vars/problem_2__025.smt2,0.68%
40-vars/problem_2__029.smt2,1.78%
40-vars/problem_2__032.smt2,0.29%
40-vars/problem_2__034.smt2,22.46%
40-vars/problem__004.smt2,74.78%
40-vars/problem__009.smt2,75.13%
40-vars/problem__012.smt2,4.09%
40-vars/problem__015.smt2,48.83%
40-vars/problem__017.smt2,6.52%
40-vars/problem__032.smt2,0.53%
45-vars/problem_2__004.smt2,75.78%
45-vars/problem_2__007.smt2,75.34%
45-vars/problem_2__011.smt2,8.01%
45-vars/problem_2__017.smt2,7.15%
45-vars/problem_2__020.smt2,11.47%
45-vars/problem_2__021.smt2,4.90%
45-vars/problem_2__024.smt2,2.03%
45-vars/problem_2__034.smt2,1.03%
45-vars/problem__007.smt2,63.53%
45-vars/problem__015.smt2,63.47%
45-vars/problem__018.smt2,3.62%
45-vars/problem__028.smt2,0.51%
45-vars/problem__029.smt2,1.74%
45-vars/problem__030.smt2,0.45%
45-vars/problem__033.smt2,1.24%
convert/convert-jpg2gif-query-1140.smt2,28.84%
convert/convert-jpg2gif-query-1145.smt2,27.79%
convert/convert-jpg2gif-query-1146.smt2,28.61%
convert/convert-jpg2gif-query-1152.smt2,24.91%
convert/convert-jpg2gif-query-1164.smt2,26.61%
convert/convert-jpg2gif-query-1191.smt2,0.17%
convert/convert-jpg2gif-query-1203.smt2,0.21%
convert/convert-jpg2gif-query-1358.smt2,0.23%
convert/convert-jpg2gif-query-1365.smt2,0.25%
convert/convert-jpg2gif-query-1370.smt2,0.24%
convert/convert-jpg2gif-query-1372.smt2,0.21%
convert/convert-jpg2gif-query-1423.smt2,0.20%
convert/convert-jpg2gif-query-1459.smt2,0.22%
convert/convert-jpg2gif-query-1561.smt2,0.00%
convert/convert-jpg2gif-query-1590.smt2,0.00%
dillig/10-21.smt2,78.87%
dillig/15-20.smt2,85.24%
dillig/25-26.smt2,1.44%
dillig/25-9.smt2,90.79%
dillig/30-12.smt2,7.86%
dillig/30-23.smt2,3.99%
dillig/30-28.smt2,4.02%
dillig/35-11.smt2,13.97%
dillig/40-10.smt2,92.22%
dillig/40-17.smt2,9.50%
dillig/40-25.smt2,6.23%
dillig/40-35.smt2,3.63%
dillig/40-4.smt2,92.56%
dillig/45-26.smt2,3.44%
dillig/45-28.smt2,10.00%
pb2010/normalized-1096.cudf.paranoid.smt2,11.34%
pb2010/normalized-j3024_4-sat.smt2,5.31%
pb2010/normalized-j3025_1-sat.smt2,3.00%
pb2010/normalized-j3025_7-sat.smt2,4.25%
pb2010/normalized-j3027_8-sat.smt2,5.16%
pb2010/normalized-j3031_7-sat.smt2,4.94%
pb2010/normalized-j3037_5-sat.smt2,1.01%
pb2010/normalized-j3048_8-sat.smt2,1.45%
pb2010/normalized-j308_6-sat.smt2,3.25%
